Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides LG1	Peptides LG2	Razor + unique peptides LG1	Razor + unique peptides LG2	Unique peptides LG1	Unique peptides LG2	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Q-value	Score	Identification type LG1	Identification type LG2	Ratio H/L	Ratio H/L normalized	Ratio H/L variability [%]	Ratio H/L count	Ratio H/L iso-count	Ratio H/L type	Ratio H/L LG1	Ratio H/L LG2	Ratio H/L normalized LG1	Ratio H/L normalized LG2	Ratio H/L variability [%] LG1	Ratio H/L variability [%] LG2	Ratio H/L count LG1	Ratio H/L count LG2	Ratio H/L iso-count LG1	Ratio H/L iso-count LG2	Ratio H/L type LG1	Ratio H/L type LG2	Sequence coverage LG1 [%]	Sequence coverage LG2 [%]	Intensity	Intensity L	Intensity H	Intensity LG1	Intensity L LG1	Intensity H LG1	Intensity LG2	Intensity L LG2	Intensity H LG2	iBAQ	iBAQ L	iBAQ H	iBAQ LG1	iBAQ L LG1	iBAQ H LG1	iBAQ LG2	iBAQ L LG2	iBAQ H LG2	LFQ intensity L LG1	LFQ intensity H LG1	LFQ intensity L LG2	LFQ intensity H LG2	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
Tb927.7.7430:mRNA-p1;Tb927.7.7420:mRNA-p1	Tb927.7.7430:mRNA-p1;Tb927.7.7420:mRNA-p1	11;11	11;11	11;11	Tb927.7.7430:mRNA-p1 | transcript=Tb927.7.7430:mRNA | gene=Tb927.7.7430 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=ATP synthase F1, alpha subunit | transcript_product=ATP synthase F1, alpha subunit | location=Tb927_07_v5.1:2135097-2136851(	2	11	11	11	2	11	2	11	2	11	19.7	19.7	19.7	63.502	584	584;584	1	17	0	86.618	By MS/MS	By MS/MS	0.20593	0.66779	9.1351	16	5	Leave out requantified	0.28437	0.20593	0.54243	0.66779	43.056	9.1351	2	14	2	3	Median	Leave out requantified	3.9	19.7	5067500	4062100	1005400	206660	157690	48969	4860900	3904400	956430	163470	131040	32432	6666.4	5086.8	1579.6	156800	125950	30853	242920	131770	5080700	3392800				170	7;86;189;253;395;439;487;704;798;838;856	True;True;True;True;True;True;True;True;True;True;True	8;9;91;210;281;445;492;493;546;789;890;933;952;953	12;13;150;320;443;700;806;807;923;924;1295;1296;1466;1539;1540;1570;1571	15;16;244;523;524;729;730;731;732;1167;1168;1313;1314;1315;1316;1514;1515;1516;2087;2088;2089;2090;2091;2419;2420;2550;2551;2552;2591;2592;2593;2594	15;244;524;732;1167;1316;1515;2091;2420;2551;2594	133;134;135	348;420;452
Tb927.8.1990:mRNA-p1	Tb927.8.1990:mRNA-p1	5	5	5	Tb927.8.1990:mRNA-p1 | transcript=Tb927.8.1990:mRNA | gene=Tb927.8.1990 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=peroxidoxin | transcript_product=peroxidoxin | location=Tb927_08_v5.1:634173-634853(+) | protein_length=226 | sequence_SO=ch	1	5	5	5	5	0	5	0	5	0	23.5	23.5	23.5	25.631	226	226	1	5	0	34.778	By MS/MS		0.086884	0.17463	46.512	5	4	Median	0.086884	NaN	0.17463	NaN	46.512	NaN	5	0	4	0	Median	Median	23.5	0	1018700	889080	129570	1018700	889080	129570	0	0	0	78358	68391	9967.1	78358	68391	9967.1	0	0	0	3106200	542440	0	0				171	49;158;348;381;905	True;True;True;True;True	51;176;393;428;1006	75;273;620;677;1660	116;444;1043;1141;2712	116;444;1043;1141;2712		
Tb927.8.2630:mRNA-p1	Tb927.8.2630:mRNA-p1	1	1	1	Tb927.8.2630:mRNA-p1 | transcript=Tb927.8.2630:mRNA | gene=Tb927.8.2630 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=kinesin-C | transcript_product=kinesin-C | location=Tb927_08_v5.1:774364-776616(+) | protein_length=750 | sequence_SO=chromo	1	1	1	1	0	1	0	1	0	1	2	2	2	85.189	750	750	1	1	0	7.9114		By MS/MS	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	1	0	0	Median	Median	0	2	65550	38142	27409	0	0	0	65550	38142	27409	1337.8	778.4	559.36	0	0	0	1337.8	778.4	559.36	0	0	36549	154060				172	878	True	976	1609	2644	2644		
Tb927.8.3380:mRNA-p1	Tb927.8.3380:mRNA-p1	1	1	1	Tb927.8.3380:mRNA-p1 | transcript=Tb927.8.3380:mRNA | gene=Tb927.8.3380 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=succinate dehydrogenase iron-sulfur subunit | transcript_product=succinate dehydrogenase iron-sulfur subunit | location=Tb92	1	1	1	1	1	1	1	1	1	1	4.5	4.5	4.5	27.259	242	242	1	2	0	6.2665	By MS/MS	By MS/MS	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	Median	Median	4.5	4.5	25228	25228	0	25228	25228	0	0	0	0	2102.3	2102.3	0	2102.3	2102.3	0	0	0	0	38864	0	0	0				173	51	True	53	78;79	120;121	120		
Tb927.8.3530:mRNA-p1	Tb927.8.3530:mRNA-p1	14	14	14	Tb927.8.3530:mRNA-p1 | transcript=Tb927.8.3530:mRNA | gene=Tb927.8.3530 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=glycerol-3-phosphate dehydrogenase [NAD+], glycosomal | transcript_product=glycerol-3-phosphate dehydrogenase [NAD+], glycos	1	14	14	14	9	12	9	12	9	12	49.2	49.2	49.2	37.805	354	354	1	42	0	169.1	By MS/MS	By MS/MS	0.27661	0.85995	8.9771	41	2	Leave out requantified	0.43573	0.24306	0.8561	0.8824	8.7808	8.6855	14	27	0	2	Leave out requantified	Leave out requantified	27.7	44.4	43532000	33718000	9814200	8714200	6138700	2575500	34818000	27579000	7238600	2720700	2107400	613390	544640	383670	160970	2176100	1723700	452410	13149000	11257000	25865000	39350000				174	81;115;259;288;300;338;392;419;440;467;468;564;601;886	True;True;True;True;True;True;True;True;True;True;True;True;True;True	86;122;123;288;319;335;336;337;382;441;442;471;494;525;526;637;638;679;985	137;138;139;140;141;200;201;202;455;505;526;527;528;529;530;531;532;533;534;535;536;537;604;694;695;696;750;808;809;810;811;858;859;860;861;1051;1052;1053;1131;1132;1133;1623	217;218;219;220;221;222;223;224;225;226;227;228;229;230;333;334;335;336;337;338;339;763;764;765;766;838;839;881;882;883;884;885;886;887;888;889;890;891;892;893;894;895;896;897;898;899;900;901;902;903;904;905;906;907;908;909;910;911;1027;1160;1161;1162;1163;1255;1317;1318;1319;1320;1321;1322;1323;1324;1325;1326;1327;1328;1411;1412;1413;1414;1415;1416;1417;1418;1709;1710;1711;1712;1713;1714;1844;1845;1846;1847;1848;2662;2663	224;338;765;838;884;1027;1161;1255;1323;1415;1417;1712;1845;2662	136;137;138;139;140;141	39;157;170;178;202;273
Tb927.8.4580:mRNA-p1	Tb927.8.4580:mRNA-p1	4	4	4	Tb927.8.4580:mRNA-p1 | transcript=Tb927.8.4580:mRNA | gene=Tb927.8.4580 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Basal body protein | transcript_product=Basal body protein | location=Tb927_08_v5.1:1357391-1358842(-) | protein_length=483 	1	4	4	4	0	4	0	4	0	4	8.7	8.7	8.7	58.084	483	483	1	5	0	27.839		By MS/MS	0.43948	1.2629	15.249	5	2	Leave out requantified	NaN	0.43948	NaN	1.2629	NaN	15.249	0	5	0	2	Median	Leave out requantified	0	8.7	669590	452680	216910	0	0	0	669590	452680	216910	21600	14603	6997.2	0	0	0	21600	14603	6997.2	0	0	603980	762760				175	58;66;551;770	True;True;True;True	61;62;71;622;860	95;96;108;1032;1423	147;148;165;1683;2356	148;165;1683;2356	142	128
Tb927.8.4640:mRNA-p1	Tb927.8.4640:mRNA-p1	1	1	1	Tb927.8.4640:mRNA-p1 | transcript=Tb927.8.4640:mRNA | gene=Tb927.8.4640 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Component of motile flagella 19 | transcript_product=Component of motile flagella 19 | location=Tb927_08_v5.1:1366682-136783	1	1	1	1	0	1	0	1	0	1	2.6	2.6	2.6	46.865	385	385	1	1	0	6.2403		By MS/MS	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	1	0	0	Median	Median	0	2.6	199230	156840	42393	0	0	0	199230	156840	42393	11719	9225.7	2493.7	0	0	0	11719	9225.7	2493.7	0	0	150290	238280				176	915	True	1016	1675	2737;2738	2738		
Tb927.8.5640:mRNA-p1	Tb927.8.5640:mRNA-p1	1	1	1	Tb927.8.5640:mRNA-p1 | transcript=Tb927.8.5640:mRNA | gene=Tb927.8.5640 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=putative succinate dehydrogenase subunit | transcript_product=putative succinate dehydrogenase subunit | location=Tb927_08_v	1	1	1	1	0	1	0	1	0	1	3.3	3.3	3.3	37.089	333	333	1	1	0.0051546	5.9748		By MS/MS	NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	1	0	1	Median	Median	0	3.3	82232	70951	11281	0	0	0	82232	70951	11281	4328	3734.3	593.71	0	0	0	4328	3734.3	593.71	0	0	67989	63407				177	351	True	396	624	1049	1049		
Tb927.8.6110:mRNA-p1	Tb927.8.6110:mRNA-p1	2	2	2	Tb927.8.6110:mRNA-p1 | transcript=Tb927.8.6110:mRNA | gene=Tb927.8.6110 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=3-hydroxy-3-methylglutaryl-CoA synthase, putative | transcript_product=3-hydroxy-3-methylglutaryl-CoA synthase, putative | l	1	2	2	2	2	0	2	0	2	0	4	4	4	54.669	499	499	1	2	0	13.737	By MS/MS		NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	NaN	NaN	NaN	1	0	1	0	Median	Median	4	0	103530	81480	22048	103530	81480	22048	0	0	0	3697.4	2910	787.41	3697.4	2910	787.41	0	0	0	125520	199230	0	0				178	476;844	True;True	534;940	874;1552	1432;2567	1432;2567		
Tb927.8.6170:mRNA-p1	Tb927.8.6170:mRNA-p1	4	4	4	Tb927.8.6170:mRNA-p1 | transcript=Tb927.8.6170:mRNA | gene=Tb927.8.6170 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=transketolase, putative | transcript_product=transketolase, putative | location=Tb927_08_v5.1:1797668-1799677(+) | protein_l	1	4	4	4	2	2	2	2	2	2	6.4	6.4	6.4	72.609	669	669	1	4	0	24.817	By MS/MS	By MS/MS	0.13959	0.283	22.494	3	1	Median	NaN	0.12031	NaN	0.34311	NaN	27.238	1	2	0	1	Median	Median	3.6	2.8	340280	290780	49506	116010	97856	18158	224270	192920	31348	12603	10770	1833.6	4296.8	3624.3	672.52	8306.3	7145.2	1161.1	0	0	308120	105720				179	40;111;532;624	True;True;True;True	42;117;596;704	61;192;995;1173	90;322;1625;1907;1908	90;322;1625;1908		
Tb927.8.6240:mRNA-p1	Tb927.8.6240:mRNA-p1	3	3	3	Tb927.8.6240:mRNA-p1 | transcript=Tb927.8.6240:mRNA | gene=Tb927.8.6240 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=STOP axonemal protein | transcript_product=STOP axonemal protein | location=Tb927_08_v5.1:1814348-1815148(+) | protein_lengt	1	3	3	3	0	3	0	3	0	3	14.3	14.3	14.3	30.042	266	266	1	4	0	39.914		By MS/MS	0.4296	1.3678	13.61	4	0	Leave out requantified	NaN	0.4296	NaN	1.3678	NaN	13.61	0	4	0	0	Median	Leave out requantified	0	14.3	751660	492500	259160	0	0	0	751660	492500	259160	44215	28971	15245	0	0	0	44215	28971	15245	0	0	576630	788680				180	265;323;801	True;True;True	294;366;367;894	462;582;583;1470	777;991;992;993;994;2426	777;991;2426	143	149
Tb927.8.6580:mRNA-p1	Tb927.8.6580:mRNA-p1	1	1	1	Tb927.8.6580:mRNA-p1 | transcript=Tb927.8.6580:mRNA | gene=Tb927.8.6580 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial | transcript_product=Succinate dehydrogenase [ubiqu	1	1	1	1	1	1	1	1	1	1	2.1	2.1	2.1	66.88	609	609	1	2	0	8.2218	By MS/MS	By MS/MS	0.21647	0.50075	38.731	2	2	Median	NaN	NaN	NaN	NaN	NaN	NaN	1	1	1	1	Median	Median	2.1	2.1	144420	119610	24813	64025	55187	8838.1	80399	64424	15975	4513.3	3737.8	775.41	2000.8	1724.6	276.19	2512.5	2013.3	499.22	0	0	61734	89794				181	658	True	739	1229;1230	1986;1987	1987		
Tb927.8.7170:mRNA-p1	Tb927.8.7170:mRNA-p1	1	1	1	Tb927.8.7170:mRNA-p1 | transcript=Tb927.8.7170:mRNA | gene=Tb927.8.7170 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=inositol polyphosphate 1-phosphatase, putative | transcript_product=inositol polyphosphate 1-phosphatase, putative | locatio	1	1	1	1	0	1	0	1	0	1	2.8	2.8	2.8	42.081	390	390	1	1	0	6.0507		By MS/MS	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	1	0	0	Median	Median	0	2.8	276270	189770	86501	0	0	0	276270	189770	86501	16251	11163	5088.3	0	0	0	16251	11163	5088.3	0	0	181850	486210				182	775	True	867	1436	2378;2379	2379		
Tb927.8.7530:mRNA-p1	Tb927.8.7530:mRNA-p1	1	1	1	Tb927.8.7530:mRNA-p1 | transcript=Tb927.8.7530:mRNA | gene=Tb927.8.7530 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=3,2-trans-enoyl-CoA isomerase, mitochondrial precursor, putative | transcript_product=3,2-trans-enoyl-CoA isomerase, mitocho	1	1	1	1	1	0	1	0	1	0	4.2	4.2	4.2	39.776	358	358	1	1	0	6.5601	By MS/MS		NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	Median	Median	4.2	0	32337	32337	0	32337	32337	0	0	0	0	2021.1	2021.1	0	2021.1	2021.1	0	0	0	0	49816	0	0	0				183	548	True	618	1026	1663	1663	144	256
Tb927.9.10770:mRNA-p1	Tb927.9.10770:mRNA-p1	5	5	5	Tb927.9.10770:mRNA-p1 | transcript=Tb927.9.10770:mRNA | gene=Tb927.9.10770 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=polyadenylate-binding protein 2 | transcript_product=polyadenylate-binding protein 2 | location=Tb927_09_v5.1:1700279-170	1	5	5	5	5	0	5	0	5	0	11.7	11.7	11.7	62.147	555	555	1	6	0	31.967	By MS/MS		0.16879	0.29956	36.742	5	5	Median	0.16879	NaN	0.29956	NaN	36.742	NaN	5	0	5	0	Median	Median	11.7	0	542740	462690	80050	542740	462690	80050	0	0	0	18715	15955	2760.3	18715	15955	2760.3	0	0	0	1335100	399950	0	0				184	88;208;410;534;693	True;True;True;True;True	93;233;461;598;778	154;357;725;726;997;1281	248;587;1222;1223;1627;2067	248;587;1222;1627;2067		
Tb927.9.11410:mRNA-p1;Tb927.9.11380:mRNA-p1	Tb927.9.11410:mRNA-p1;Tb927.9.11380:mRNA-p1	3;3	3;3	3;3	Tb927.9.11410:mRNA-p1 | transcript=Tb927.9.11410:mRNA | gene=Tb927.9.11410 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=60S ribosomal protein L23, putative | transcript_product=60S ribosomal protein L23, putative | location=Tb927_09_v5.1:178	2	3	3	3	3	0	3	0	3	0	25.9	25.9	25.9	14.962	139	139;139	1	4	0	19.293	By MS/MS		0.089014	0.17288	26.505	4	4	Median	0.089014	NaN	0.17288	NaN	26.505	NaN	4	0	4	0	Median	Median	25.9	0	834100	774080	60014	834100	774080	60014	0	0	0	104260	96760	7501.7	104260	96760	7501.7	0	0	0	1934100	334370	0	0				185	582;871;888	True;True;True	656;969;987	1088;1596;1626;1627	1781;2627;2666;2667	1781;2627;2667		
Tb927.9.11580:mRNA-p1	Tb927.9.11580:mRNA-p1	3	3	1	Tb927.9.11580:mRNA-p1 | transcript=Tb927.9.11580:mRNA | gene=Tb927.9.11580 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=glycosomal membrane protein | transcript_product=glycosomal membrane protein | location=Tb927_09_v5.1:1804597-1805328(+) 	1	3	3	1	2	2	2	2	0	1	15.6	15.6	4.1	26.408	243	243	1	8	0	21.76	By MS/MS	By MS/MS	0.22988	0.55493	38.513	7	3	Leave out requantified	0.22399	0.25131	0.45022	0.72863	23.882	12.698	4	3	1	2	Median	Median	11.5	9.9	1866200	1453900	412300	1131400	866720	264660	734860	587220	147640	109780	85526	24253	66552	50984	15568	43227	34542	8684.6	2421300	1090100	1112600	1341100				186	54;655;881	True;True;True	56;736;979	83;84;85;86;87;88;1225;1613	130;131;132;133;134;135;136;137;138;139;140;1979;2650	134;1979;2650		
Tb927.9.11600:mRNA-p1	Tb927.9.11600:mRNA-p1	3	1	1	Tb927.9.11600:mRNA-p1 | transcript=Tb927.9.11600:mRNA | gene=Tb927.9.11600 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=glycosomal membrane protein | transcript_product=glycosomal membrane protein | location=Tb927_09_v5.1:1807987-1808712(+) 	1	3	1	1	3	1	1	0	1	0	14.5	2.9	2.9	25.975	241	241	1	1	0	6.122	By MS/MS	By matching	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	NaN	NaN	NaN	1	0	0	0	Median	Median	14.5	5.8	202130	153940	48188	202130	153940	48188	0	0	0	12633	9621.1	3011.7	12633	9621.1	3011.7	0	0	0	237140	435440	0	0				187	54;655;877	False;False;True	56;736;975	83;84;85;86;87;88;1225;1608	130;131;132;133;134;135;136;137;138;139;140;1979;2643	134;1979;2643	145	174
Tb927.9.12630:mRNA-p1;Tb927.9.12590:mRNA-p1;Tb927.9.12570:mRNA-p1;Tb927.9.12550:mRNA-p1;Tb927.9.12610:mRNA-p1	Tb927.9.12630:mRNA-p1;Tb927.9.12590:mRNA-p1;Tb927.9.12570:mRNA-p1;Tb927.9.12550:mRNA-p1;Tb927.9.12610:mRNA-p1	25;25;25;23;22	25;25;25;23;22	25;25;25;23;22	Tb927.9.12630:mRNA-p1 | transcript=Tb927.9.12630:mRNA | gene=Tb927.9.12630 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=glycerol kinase, glycosomal | transcript_product=glycerol kinase, glycosomal | location=Tb927_09_v5.1:1982416-1983954(+) 	5	25	25	25	19	22	19	22	19	22	45.5	45.5	45.5	56.426	512	512;512;512;512;512	1	99	0	224.3	By MS/MS	By MS/MS	0.49445	1.2308	8.9299	77	15	Leave out requantified	0.70185	0.33232	1.3536	1.1417	7.067	5.859	36	41	0	15	Leave out requantified	Leave out requantified	38.9	41	45755000	31361000	14394000	14712000	8645400	6066800	31043000	22715000	8327300	1634100	1120000	514070	525440	308770	216670	1108700	811260	297400	21774000	29473000	18004000	36166000				188	5;33;112;121;161;197;203;235;319;361;399;412;423;436;438;477;585;597;744;815;892;895;917;920;958	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	5;6;35;118;119;129;181;182;220;227;263;361;362;408;449;450;463;475;488;489;491;535;536;660;661;675;832;833;908;909;991;992;995;1018;1021;1062	6;7;8;9;10;51;52;193;194;195;209;282;283;335;336;337;347;348;405;574;575;576;577;644;706;707;708;729;754;755;756;757;758;759;760;761;762;763;764;765;766;767;768;769;770;771;772;773;774;775;776;777;795;796;802;803;804;805;875;876;877;878;879;880;881;882;883;884;885;1095;1096;1097;1098;1099;1100;1125;1126;1358;1359;1360;1361;1362;1489;1490;1491;1492;1632;1633;1634;1638;1639;1640;1641;1678;1681;1737;1738;1739;1740	6;7;8;9;10;11;12;13;74;75;76;77;78;79;80;81;323;324;325;326;327;328;348;349;350;351;352;353;460;461;543;544;545;546;547;548;549;550;551;552;566;567;568;660;661;662;663;664;665;666;667;668;977;978;979;980;981;982;983;984;985;986;1078;1079;1184;1185;1186;1187;1188;1189;1190;1191;1226;1259;1260;1261;1262;1263;1264;1265;1266;1267;1268;1269;1270;1271;1272;1273;1274;1275;1276;1277;1278;1279;1280;1281;1282;1283;1284;1285;1303;1304;1305;1309;1310;1311;1312;1433;1434;1435;1436;1437;1438;1439;1440;1441;1442;1443;1444;1445;1795;1796;1797;1798;1799;1800;1801;1802;1803;1835;1836;2221;2222;2223;2224;2225;2226;2227;2228;2229;2230;2231;2232;2233;2234;2457;2458;2459;2460;2461;2462;2463;2464;2465;2466;2467;2672;2673;2674;2675;2676;2677;2678;2679;2683;2684;2685;2686;2687;2688;2745;2748;2829;2830;2831;2832;2833;2834;2835;2836;2837;2838	9;77;327;350;460;549;567;660;980;1078;1185;1226;1275;1304;1309;1436;1797;1836;2224;2461;2676;2686;2745;2748;2835	146;147;148;149;150;151;152;153;154;155;156	58;126;148;196;215;282;331;378;406;491;496
Tb927.9.13920:mRNA-p1;Tb927.9.13860:mRNA-p1;Tb927.9.13820:mRNA-p1;Tb927.9.13795:mRNA-p1;Tb927.9.13785:mRNA-p1	Tb927.9.13920:mRNA-p1;Tb927.9.13860:mRNA-p1;Tb927.9.13820:mRNA-p1;Tb927.9.13795:mRNA-p1;Tb927.9.13785:mRNA-p1	2;2;2;2;2	2;2;2;2;2	2;2;2;2;2	Tb927.9.13920:mRNA-p1 | transcript=Tb927.9.13920:mRNA | gene=Tb927.9.13920 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=kinetoplastid membrane protein 11-1 | transcript_product=kinetoplastid membrane protein 11-1 | location=Tb927_09_v5.1:218	5	2	2	2	2	2	2	2	2	2	17.4	17.4	17.4	11.076	92	92;92;92;92;92	1	4	0	15.552	By MS/MS	By MS/MS	0.31253	0.73372	38.773	4	2	Median	0.27495	0.33861	0.5331	1.0259	9.4118	11.65	2	2	1	1	Median	Median	17.4	17.4	794560	600560	194000	455920	359550	96368	338640	241010	97635	113510	85794	27715	65131	51364	13767	48378	34430	13948	551530	294020	353270	362440				189	211;560	True;True	236;633	360;361;1045;1046	590;591;592;593;1701;1702;1703	590;1701		
Tb927.9.15170:mRNA-p1;Tb927.9.15110:mRNA-p1	Tb927.9.15170:mRNA-p1;Tb927.9.15110:mRNA-p1	2;2	2;2	2;2	Tb927.9.15170:mRNA-p1 | transcript=Tb927.9.15170:mRNA | gene=Tb927.9.15170 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=60S ribosomal protein L5, putative | transcript_product=60S ribosomal protein L5, putative | location=Tb927_09_v5.1:23604	2	2	2	2	2	0	2	0	2	0	6.5	6.5	6.5	34.636	308	308;308	1	2	0	12.444	By MS/MS		0.13048	0.22975	21.019	2	2	Median	0.13048	NaN	0.22975	NaN	21.019	NaN	2	0	2	0	Median	Median	6.5	0	100720	94075	6646.4	100720	94075	6646.4	0	0	0	10072	9407.5	664.64	10072	9407.5	664.64	0	0	0	202340	46488	0	0				190	152;206	True;True	170;231	264;355	422;585	422;585		
Tb927.9.2470:mRNA-p1;Tb927.9.2490:mRNA-p1	Tb927.9.2470:mRNA-p1;Tb927.9.2490:mRNA-p1	3;2	3;2	3;2	Tb927.9.2470:mRNA-p1 | transcript=Tb927.9.2470:mRNA | gene=Tb927.9.2470 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=nucleolar protein | transcript_product=nucleolar protein | location=Tb927_09_v5.1:528721-531003(-) | protein_length=760 | se	2	3	3	3	3	0	3	0	3	0	5	5	5	86.202	760	760;579	1	3	0	19.263	By MS/MS		0.12493	0.22694	73.18	2	2	Median	0.12493	NaN	0.22694	NaN	73.18	NaN	2	0	2	0	Median	Median	5	0	207730	196190	11541	207730	196190	11541	0	0	0	5193.4	4904.8	288.53	5193.4	4904.8	288.53	0	0	0	380490	86346	0	0				191	2;182;653	True;True;True	2;203;734	3;308;1223	3;496;1977	3;496;1977		
Tb927.9.4680:mRNA-p1	Tb927.9.4680:mRNA-p1	2	2	2	Tb927.9.4680:mRNA-p1 | transcript=Tb927.9.4680:mRNA | gene=Tb927.9.4680 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Eukaryotic initiation factor 4A-1 | transcript_product=Eukaryotic initiation factor 4A-1 | location=Tb927_09_v5.1:864680-865	1	2	2	2	2	0	2	0	2	0	6.2	6.2	6.2	45.361	404	404	1	2	0	13.426	By MS/MS		0.17241	0.31561	61.347	2	2	Median	0.17241	NaN	0.31561	NaN	61.347	NaN	2	0	2	0	Median	Median	6.2	0	133910	123810	10098	133910	123810	10098	0	0	0	6376.7	5895.8	480.84	6376.7	5895.8	480.84	0	0	0	234820	74114	0	0				192	506;748	True;True	567;838	953;1387	1558;2290	1558;2290		
Tb927.9.5860:mRNA-p1;Tb927.9.5770:mRNA-p1	Tb927.9.5860:mRNA-p1;Tb927.9.5770:mRNA-p1	7;7	7;7	7;7	Tb927.9.5860:mRNA-p1 | transcript=Tb927.9.5860:mRNA | gene=Tb927.9.5860 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=tryparedoxin peroxidase | transcript_product=tryparedoxin peroxidase | location=Tb927_09_v5.1:989953-990552(+) | protein_len	2	7	7	7	7	3	7	3	7	3	42.7	42.7	42.7	22.424	199	199;199	1	14	0	56.629	By MS/MS	By MS/MS	0.19717	0.39629	32.271	14	1	Leave out requantified	0.17581	0.28231	0.33371	0.9981	12.875	18.497	11	3	1	0	Leave out requantified	Leave out requantified	42.7	18.6	5329800	4389000	940790	4041900	3415400	626560	1287800	973600	314230	409980	337610	72368	310920	262720	48197	99064	74892	24172	7760300	2589700	1588700	2472500				193	30;97;274;286;496;598;618	True;True;True;True;True;True;True	32;103;304;305;317;555;556;676;698	48;169;170;171;482;483;484;502;503;935;936;1127;1161;1162	71;282;283;284;285;807;808;809;831;832;833;834;835;836;1531;1532;1837;1892;1893;1894;1895;1896	71;283;807;835;1531;1837;1895	157;158	21;100
Tb927.9.5900:mRNA-p1	Tb927.9.5900:mRNA-p1	19	19	19	Tb927.9.5900:mRNA-p1 | transcript=Tb927.9.5900:mRNA | gene=Tb927.9.5900 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=glutamate dehydrogenase | transcript_product=glutamate dehydrogenase | location=Tb927_09_v5.1:995307-998285(+) | protein_len	1	19	19	19	18	2	18	2	18	2	21.8	21.8	21.8	112.11	992	992	1	24	0	135.92	By MS/MS	By MS/MS	0.065018	0.12859	37.274	22	20	Median	0.062614	NaN	0.12472	NaN	32.566	NaN	21	1	19	1	Median	Median	19.9	2.9	4120100	3830200	289920	3972000	3690200	281790	148130	140000	8126	77738	72268	5470.2	74943	69626	5316.8	2794.9	2641.6	153.32	10481000	1307300	0	0				194	72;74;107;116;126;199;233;246;263;271;318;465;513;730;769;772;942;953;955	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	77;79;113;124;135;136;222;261;274;292;301;360;522;574;818;859;862;863;1045;1057;1059	116;118;119;187;203;217;218;340;402;403;429;460;475;573;854;855;966;1339;1422;1426;1427;1718;1732;1734	175;177;178;316;340;362;363;555;657;658;703;775;799;976;1407;1408;1572;2189;2355;2361;2362;2802;2824;2826	175;178;316;340;362;555;658;703;775;799;976;1407;1572;2189;2355;2361;2802;2824;2826	159;160;161	616;915;944
